,title_id,title,chartRating
0,0111161,The Shawshank Redemption,9.2
1,0068646,The Godfather,9.2
2,0468569,The Dark Knight,9.0
3,0071562,The Godfather Part II,9.0
4,0050083,12 Angry Men,8.9
5,0108052,Schindler's List,8.9
6,0167260,The Lord of the Rings: The Return of the King,8.9
7,0110912,Pulp Fiction,8.8
8,0120737,The Lord of the Rings: The Fellowship of the Ring,8.8
9,0060196,"The Good, the Bad and the Ugly",8.8
10,0109830,Forrest Gump,8.8
11,0137523,Fight Club,8.7
12,1375666,Inception,8.7
13,0167261,The Lord of the Rings: The Two Towers,8.7
14,0080684,Star Wars: Episode V - The Empire Strikes Back,8.7
15,0133093,The Matrix,8.7
16,0099685,Goodfellas,8.7
17,0073486,One Flew Over the Cuckoo's Nest,8.6
18,0114369,Se7en,8.6
19,0047478,Seven Samurai,8.6
20,0038650,It's a Wonderful Life,8.6
21,0102926,The Silence of the Lambs,8.6
22,0317248,City of God,8.6
23,0120815,Saving Private Ryan,8.6
24,0118799,Life Is Beautiful,8.6
25,0120689,The Green Mile,8.6
26,0816692,Interstellar,8.6
27,0076759,Star Wars: Episode IV - A New Hope,8.6
28,0103064,Terminator 2: Judgment Day,8.5
29,0088763,Back to the Future,8.5
30,0245429,Spirited Away,8.5
31,0054215,Psycho,8.5
32,0253474,The Pianist,8.5
33,0110413,Léon: The Professional,8.5
34,6751668,Parasite,8.5
35,0110357,The Lion King,8.5
36,0172495,Gladiator,8.5
37,0120586,American History X,8.5
38,0407887,The Departed,8.5
39,0114814,The Usual Suspects,8.5
40,0482571,The Prestige,8.5
41,0034583,Casablanca,8.5
42,2582802,Whiplash,8.5
43,1675434,The Intouchables,8.5
44,0095327,Grave of the Fireflies,8.5
45,0056058,Harakiri,8.5
46,0027977,Modern Times,8.4
47,0064116,Once Upon a Time in the West,8.4
48,0047396,Rear Window,8.4
49,0078748,Alien,8.4
50,0021749,City Lights,8.4
51,0095765,Cinema Paradiso,8.4
52,0078788,Apocalypse Now,8.4
53,0209144,Memento,8.4
54,0082971,Indiana Jones and the Raiders of the Lost Ark,8.4
55,1853728,Django Unchained,8.4
56,0910970,WALL·E,8.4
57,0405094,The Lives of Others,8.4
58,0043014,Sunset Blvd.,8.4
59,0050825,Paths of Glory,8.4
60,0081505,The Shining,8.4
61,0032553,The Great Dictator,8.4
62,0051201,Witness for the Prosecution,8.4
63,4154756,Avengers: Infinity War,8.4
64,0090605,Aliens,8.3
65,1745960,Top Gun: Maverick,8.3
66,0169547,American Beauty,8.3
67,4633694,Spider-Man: Into the Spider-Verse,8.3
68,0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
69,1345836,The Dark Knight Rises,8.3
70,0364569,Oldboy,8.3
71,7286456,Joker,8.3
72,0086879,Amadeus,8.3
73,0112573,Braveheart,8.3
74,0114709,Toy Story,8.3
75,2380307,Coco,8.3
76,0361748,Inglourious Basterds,8.3
77,0082096,The Boat,8.3
78,4154796,Avengers: Endgame,8.3
79,0119698,Princess Mononoke,8.3
80,0087843,Once Upon a Time in America,8.3
81,0119217,Good Will Hunting,8.3
82,5311514,Your Name.,8.3
83,0180093,Requiem for a Dream,8.3
84,0435761,Toy Story 3,8.3
85,0045152,Singin' in the Rain,8.3
86,1187043,3 Idiots,8.3
87,0057565,High and Low,8.3
88,0086190,Star Wars: Episode VI - Return of the Jedi,8.3
89,0062622,2001: A Space Odyssey,8.3
90,0338013,Eternal Sunshine of the Spotless Mind,8.3
91,0105236,Reservoir Dogs,8.3
92,8267604,Capernaum,8.3
93,2106476,The Hunt,8.3
94,0056172,Lawrence of Arabia,8.3
95,0033467,Citizen Kane,8.3
96,0022100,M,8.3
97,0053125,North by Northwest,8.3
98,0091251,Come and See,8.2
99,0052357,Vertigo,8.2
100,0211915,Amélie,8.2
101,0066921,A Clockwork Orange,8.2
102,0036775,Double Indemnity,8.2
103,0053604,The Apartment,8.2
104,0093058,Full Metal Jacket,8.2
105,0044741,Ikiru,8.2
106,0086250,Scarface,8.2
