,id,title,release_date,popularity,vote_average,vote_count
0,238,The Godfather,1972-03-14,94.558,8.7,16593
1,278,The Shawshank Redemption,1994-09-23,63.742,8.7,22312
2,240,The Godfather Part II,1974-12-20,48.482,8.6,10035
3,19404,Dilwale Dulhania Le Jayenge,1995-10-19,21.274,8.6,3870
4,424,Schindler's List,1993-12-15,45.941,8.6,13225
5,667257,Impossible Things,2021-06-17,15.203,8.5,269
6,129,Spirited Away,2001-07-20,86.739,8.5,13354
7,372058,Your Name.,2016-08-26,138.473,8.5,9065
8,389,12 Angry Men,1957-04-10,26.012,8.5,6668
9,496243,Parasite,2019-05-30,83.924,8.5,14403
10,724089,Gabriel's Inferno: Part II,2020-07-31,11.124,8.5,1436
11,696374,Gabriel's Inferno,2020-05-29,13.277,8.5,2284
12,497,The Green Mile,1999-12-10,78.364,8.5,14404
13,372754,Dou kyu sei – Classmates,2016-02-20,15.05,8.5,256
14,155,The Dark Knight,2008-07-14,88.868,8.5,28265
15,730154,Your Eyes Tell,2020-10-23,40.453,8.5,350
16,553512,Burn the Stage: The Movie,2018-11-15,17.464,8.5,365
17,680,Pulp Fiction,1994-09-10,56.97,8.5,23781
18,429,"The Good, the Bad and the Ugly",1966-12-23,44.829,8.5,6862
19,122,The Lord of the Rings: The Return of the King,2003-12-01,199.244,8.5,20187
20,13,Forrest Gump,1994-06-23,56.901,8.5,23322
21,761053,Gabriel's Inferno: Part III,2020-11-19,28.905,8.5,988
22,769,GoodFellas,1990-09-12,44.037,8.5,10491
23,11216,Cinema Paradiso,1988-11-17,25.766,8.5,3453
24,346,Seven Samurai,1954-04-26,24.897,8.5,2784
25,637,Life Is Beautiful,1997-12-20,43.917,8.5,11326
26,311,Once Upon a Time in America,1984-05-23,26.308,8.4,4332
27,12477,Grave of the Fireflies,1988-04-16,0.6,8.4,4299
28,539,Psycho,1960-06-22,53.665,8.4,8408
29,14537,Harakiri,1962-09-15,13.529,8.4,671
30,550,Fight Club,1999-10-15,82.326,8.4,24801
31,40096,A Dog's Will,2000-09-15,8.685,8.4,917
32,510,One Flew Over the Cuckoo's Nest,1975-05-18,22.243,8.4,8842
33,704264,Primal: Tales of Savagery,2019-11-21,73.365,8.4,239
34,598,City of God,2002-02-05,42.133,8.4,5999
35,92321,Hotarubi no Mori e,2011-09-17,0.6,8.4,835
36,324857,Spider-Man: Into the Spider-Verse,2018-12-06,108.672,8.4,11758
37,255709,Hope,2013-10-02,13.995,8.4,428
38,652837,"Josee, the Tiger and the Fish",2020-12-25,83.295,8.4,264
39,378064,A Silent Voice: The Movie,2016-09-17,100.349,8.4,3109
40,4935,Howl's Moving Castle,2004-09-09,93.929,8.4,7614
41,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,33.526,8.4,1145
42,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,70.5,8.4,554
43,1891,The Empire Strikes Back,1980-05-20,24.43,8.4,14565
44,795607,Green Snake,2021-07-23,14.646,8.4,206
45,568300,BTS World Tour: Love Yourself in Seoul,2019-01-26,8.437,8.4,383
46,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,225.988,8.4,21511
47,599,Sunset Boulevard,1950-08-10,17.972,8.4,2032
48,423,The Pianist,2002-09-17,37.003,8.4,7500
49,20334,The Shop Around the Corner,1940-01-12,7.948,8.4,538
50,3782,Ikiru,1952-10-09,12.096,8.4,823
51,157336,Interstellar,2014-11-05,137.032,8.4,29361
52,762975,Purple Hearts,2022-07-29,186.154,8.4,1497
53,244786,Whiplash,2014-10-10,71.536,8.4,12558
54,121,The Lord of the Rings: The Two Towers,2002-12-18,208.963,8.4,18666
55,361743,Top Gun: Maverick,2022-05-24,1589.101,8.4,3837
56,73,American History X,1998-07-01,34.359,8.4,9834
57,441130,Wolfwalkers,2020-10-26,16.992,8.4,827
58,567,Rear Window,1954-08-01,21.076,8.4,5331
59,27205,Inception,2010-07-15,113.199,8.4,32285
60,901,City Lights,1931-02-01,12.082,8.4,1699
61,533514,Violet Evergarden: The Movie,2020-09-18,91.123,8.4,272
62,807,Se7en,1995-09-22,67.333,8.4,17631
63,12493,High and Low,1963-03-01,11.083,8.4,611
64,914,The Great Dictator,1940-10-15,13.81,8.4,2701
65,128,Princess Mononoke,1997-07-12,40.469,8.4,6528
66,644479,Dedicated to my ex,2019-11-01,12.672,8.4,474
67,632632,Given,2020-08-22,44.143,8.3,328
68,274,The Silence of the Lambs,1991-02-14,10.263,8.3,13693
69,630566,Clouds,2020-10-09,21.712,8.3,873
70,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,605.025,8.3,2695
71,207,Dead Poets Society,1989-06-02,35.287,8.3,9382
72,101,Léon: The Professional,1994-09-14,51.307,8.3,12459
73,3082,Modern Times,1936-02-05,17.372,8.3,3042
74,25237,Come and See,1985-07-09,13.439,8.3,988
75,335,Once Upon a Time in the West,1968-12-21,22.965,8.3,3502
76,527641,Five Feet Apart,2019-03-14,71.842,8.3,4902
77,105,Back to the Future,1985-07-03,59.765,8.3,16968
78,447362,Life in a Year,2020-11-27,80.327,8.3,1147
79,556574,Hamilton,2020-07-03,10.36,8.3,1012
80,618344,Justice League Dark: Apokolips War,2020-05-05,38.532,8.3,1220
81,975,Paths of Glory,1957-10-25,14.977,8.3,2263
82,16672,Woman in the Dunes,1964-02-15,7.644,8.3,301
83,10494,Perfect Blue,1997-07-25,25.311,8.3,1802
84,29259,Le Trou,1960-03-18,10.006,8.3,339
85,15804,A Brighter Summer Day,1991-07-27,8.301,8.3,205
86,28,Apocalypse Now,1979-08-15,34.301,8.3,6722
87,299534,Avengers: Endgame,2019-04-24,188.12,8.3,21784
88,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,58.944,8.3,404
89,10376,The Legend of 1900,1998-10-28,16.974,8.3,1897
90,537061,Steven Universe: The Movie,2019-09-02,35.426,8.3,687
91,265177,Mommy,2014-09-19,11.936,8.3,2355
92,18148,Tokyo Story,1953-11-03,11.617,8.3,789
93,637920,Miracle in Cell No. 7,2019-10-10,40.402,8.3,3999
94,42269,We All Loved Each Other So Much,1974-12-21,6.561,8.3,437
95,670,Oldboy,2003-11-21,29.067,8.3,6928
96,522924,The Art of Racing in the Rain,2019-08-08,21.197,8.3,1106
97,77338,The Intouchables,2011-11-02,84.001,8.3,14971
98,299536,Avengers: Infinity War,2018-04-25,300.669,8.3,25425
99,290098,The Handmaiden,2016-06-01,51.016,8.3,2825
100,508965,Klaus,2019-11-08,22.488,8.3,3050
101,1585,It's a Wonderful Life,1946-12-20,31.277,8.3,3425
102,8587,The Lion King,1994-06-23,192.932,8.3,15737
103,518068,Along with the Gods: The Last 49 Days,2018-08-01,119.263,8.3,393
104,476292,Maquia: When the Promised Flower Blooms,2018-02-24,52.658,8.3,485
105,797,Persona,1966-10-18,14.297,8.3,1686
106,791373,Zack Snyder's Justice League,2021-03-18,286.34,8.3,8143
107,110420,Wolf Children,2012-07-21,33.287,8.3,1847
108,575813,Better Days,2019-10-25,27.601,8.3,265
109,592350,My Hero Academia: Heroes Rising,2019-12-20,188.999,8.3,966
110,24188,Il Sorpasso,1962-12-05,6.746,8.3,585
111,504253,I Want to Eat Your Pancreas,2017-07-28,61.4,8.3,1075
112,823754,Bo Burnham: Inside,2021-07-22,12.762,8.2,264
113,532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019-08-30,113.657,8.2,414
114,490132,Green Book,2018-11-16,44.693,8.2,9364
115,37257,Witness for the Prosecution,1957-12-17,11.649,8.2,1025
116,5156,Bicycle Thieves,1948-11-24,13.785,8.2,1905
117,755812,"Miraculous World: New York, United HeroeZ",2020-09-25,174.737,8.2,934
118,31414,Satantango,1994-02-08,8.348,8.2,200
119,422,8½,1963-02-14,13.349,8.2,1839
120,313106,Doctor Who: The Day of the Doctor,2013-11-23,10.851,8.2,656
121,354912,Coco,2017-10-27,268.709,8.2,16142
122,10098,The Kid,1921-01-21,13.077,8.2,1638
123,284,The Apartment,1960-06-21,12.677,8.2,1774
124,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,39.037,8.2,1128
125,185,A Clockwork Orange,1971-12-19,39.826,8.2,10956
126,1398,Stalker,1979-05-25,18.561,8.2,1636
127,694,The Shining,1980-05-23,48.269,8.2,14847
128,26451,Investigation of a Citizen Above Suspicion,1970-10-16,8.017,8.2,610
129,2457,Children of Paradise,1945-03-15,11.775,8.2,302
130,490,The Seventh Seal,1957-02-16,13.587,8.2,2413
131,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,58.02,8.2,270
132,20532,Sansho the Bailiff,1954-03-31,9.601,8.2,271
133,531428,Portrait of a Lady on Fire,2019-06-17,19.922,8.2,1872
134,16869,Inglourious Basterds,2009-08-19,80.944,8.2,19198
135,426,Vertigo,1958-05-28,25.34,8.2,4742
136,11,Star Wars,1977-05-25,73.589,8.2,17698
137,470044,The Hate U Give,2018-10-19,23.67,8.2,1815
138,398818,Call Me by Your Name,2017-09-01,82.519,8.2,10517
139,98,Gladiator,2000-05-04,49.845,8.2,15553
140,629,The Usual Suspects,1995-07-19,23.312,8.2,8829
141,1124,The Prestige,2006-10-19,37.071,8.2,13415
142,857,Saving Private Ryan,1998-07-24,61.905,8.2,13433
143,50014,The Help,2011-08-09,112.847,8.2,6690
144,545611,Everything Everywhere All at Once,2022-03-24,237.286,8.2,1726
145,77,Memento,2000-10-11,36.264,8.2,12602
146,663558,New Gods: Nezha Reborn,2021-02-06,72.211,8.2,300
147,399106,Piper,2016-06-16,11.469,8.2,1395
148,603,The Matrix,1999-03-30,70.175,8.2,22087
149,324786,Hacksaw Ridge,2016-10-07,288.831,8.2,11424
150,11324,Shutter Island,2010-02-14,68.273,8.2,20457
151,526702,Black Beauty,2020-11-27,13.505,8.2,274
152,620683,My Mom is a Character 3,2019-12-26,6.022,8.2,428
153,517814,Capernaum,2018-09-20,17.168,8.2,1324
154,406997,Wonder,2017-11-13,35.976,8.2,7010
155,872,Singin' in the Rain,1952-04-09,22.118,8.2,2514
156,831827,Far from the Tree,2021-11-24,69.921,8.2,296
157,508442,Soul,2020-12-25,144.771,8.2,8398
158,475557,Joker,2019-10-01,138.152,8.2,21278
159,133919,Scenes from a Marriage,1974-09-15,8.313,8.2,259
160,103,Taxi Driver,1976-02-09,41.199,8.2,9780
161,11878,Yojimbo,1961-04-25,12.602,8.2,1094
162,289,Casablanca,1942-11-26,20.006,8.2,4378
163,19,Metropolis,1927-02-06,16.275,8.2,2138
164,400608,Bo Burnham: Make Happy,2016-06-03,7.701,8.2,298
165,705,All About Eve,1950-10-06,13.266,8.2,1239
166,606856,Togo,2019-12-20,56.119,8.2,1589
167,472454,Ayla: The Daughter of War,2017-10-27,11.711,8.2,277
168,439,La Dolce Vita,1960-02-05,12.879,8.2,1533
169,111,Scarface,1983-12-09,84.998,8.2,9596
170,20914,My Friends,1975-10-24,7.451,8.2,597
171,1422,The Departed,2006-10-04,35.184,8.2,12729
172,992,Sherlock Jr.,1924-04-17,10.025,8.2,700
173,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,11.466,8.2,5581
174,895,Andrei Rublev,1966-12-16,10.051,8.2,595
175,666,Central Station,1998-11-20,9.239,8.2,684
176,600354,The Father,2020-12-23,17.689,8.2,2265
177,68718,Django Unchained,2012-12-25,70.377,8.2,23025
178,55823,The Great War,1959-10-28,5.66,8.2,297
179,654299,Out of the Clear Blue Sky,2019-12-24,21.589,8.1,298
180,500,Reservoir Dogs,1992-09-02,27.449,8.1,12212
181,17663,Anne of Green Gables,1985-12-01,15.425,8.1,205
182,600,Full Metal Jacket,1987-06-26,42.368,8.1,8778
183,489,Good Will Hunting,1997-12-05,40.678,8.1,9959
184,640344,Me Against You: Mr. S's Vendetta,2020-01-17,5.24,8.1,452
185,996,Double Indemnity,1944-06-14,11.244,8.1,1412
186,548,Rashomon,1950-08-26,12.913,8.1,1713
187,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,16.345,8.1,4627
188,614,Wild Strawberries,1957-12-26,10.808,8.1,1295
189,239,Some Like It Hot,1959-03-19,19.029,8.1,2811
190,348,Alien,1979-05-25,75.395,8.1,12026
191,615457,Nobody,2021-03-18,126.636,8.1,5055
192,337404,Cruella,2021-05-26,288.828,8.1,7491
193,149871,The Tale of The Princess Kaguya,2013-11-23,17.997,8.1,1382
194,411088,The Invisible Guest,2017-01-06,38.431,8.1,3850
195,5801,Pather Panchali,1955-08-26,7.328,8.1,283
196,24382,Big Deal on Madonna Street,1958-07-26,6.747,8.1,579
197,37165,The Truman Show,1998-06-04,48.377,8.1,15227
198,655,"Paris, Texas",1984-08-23,12.284,8.1,1326
199,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,180.305,8.1,17711
200,3780,Red Beard,1965-04-03,9.652,8.1,246
201,832,M,1931-05-11,14.294,8.1,1658
202,638507,How to Train Your Dragon: Homecoming,2019-10-25,45.654,8.1,717
203,92060,Michael Jackson's Thriller,1983-11-14,11.214,8.1,452
204,843,In the Mood for Love,2000-09-29,21.023,8.1,1979
205,9764,Dersu Uzala,1975-08-02,10.44,8.1,367
206,529531,Hannah Gadsby: Nanette,2018-06-19,6.73,8.1,229
207,38288,I corti,1996-01-01,5.37,8.1,328
208,785534,Paper Lives,2021-03-12,17.872,8.1,299
209,397567,Along with the Gods: The Two Worlds,2017-12-14,119.52,8.1,684
210,347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,2015-07-10,19.486,8.1,236
211,42229,A Special Day,1977-08-11,7.86,8.1,532
212,38,Eternal Sunshine of the Spotless Mind,2004-03-19,41.095,8.1,12612
213,55960,"Toto, Peppino, and the Hussy",1956-08-23,4.816,8.1,283
214,11659,The Best of Youth,2003-06-22,7.567,8.1,434
215,46738,Incendies,2010-09-04,28.3,8.1,1997
216,7345,There Will Be Blood,2007-12-26,24.065,8.1,5316
217,359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,20.276,8.1,8726
218,103663,The Hunt,2012-10-25,18.212,8.1,3225
219,4348,Pride & Prejudice,2005-09-16,47.635,8.1,6717
220,843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,114.833,8.1,315
221,652722,In the Arms of an Assassin,2019-12-06,11.274,8.1,299
222,334543,Lion,2016-01-20,18.041,8.1,5822
223,780,The Passion of Joan of Arc,1928-04-21,7.811,8.1,690
224,574074,Kitbull,2019-01-18,6.724,8.1,274
225,147,The 400 Blows,1959-06-03,12.834,8.1,1713
226,81481,Silenced,2011-09-22,31.691,8.1,412
227,282848,Doctor Who: The Time of the Doctor,2013-12-25,8.211,8.1,250
228,406,La Haine,1995-05-31,13.078,8.1,3134
229,1955,The Elephant Man,1980-10-09,12.815,8.1,2755
230,387,Das Boot,1981-09-17,18.054,8.1,1733
231,280,Terminator 2: Judgment Day,1991-07-03,129.828,8.1,10686
232,550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,18.45,8.1,437
233,449176,"Love, Simon",2018-02-16,27.589,8.1,5468
234,9702,Bound by Honor,1993-02-05,72.634,8.1,952
235,19426,Nights of Cabiria,1957-10-03,11.724,8.1,577
236,62,2001: A Space Odyssey,1968-04-02,34.519,8.1,9611
237,11645,Ran,1985-06-01,17.111,8.1,1176
238,437068,A Taxi Driver,2017-08-02,12.357,8.1,699
239,21634,Prayers for Bobby,2009-01-24,16.811,8.1,476
240,515001,Jojo Rabbit,2019-10-18,29.023,8.1,7760
241,20941,Innocent Voices,2005-01-28,58.47,8.1,358
242,19542,The Red Shoes,1948-09-06,9.828,8.1,466
243,8392,My Neighbor Totoro,1988-04-16,47.368,8.1,6379
244,1396,Mirror,1975-03-07,12.281,8.1,702
245,10681,WALL·E,2008-06-22,76.65,8.1,16137
246,381284,Hidden Figures,2016-12-10,98.287,8.1,8087
247,146233,Prisoners,2013-09-18,49.155,8.1,9572
248,8422,Rocco and His Brothers,1960-10-06,7.101,8.1,430
249,7347,Elite Squad,2007-10-12,31.427,8.1,1852
250,14696,Ugetsu,1953-03-26,9.04,8.1,422
251,893941,Misfit,2021-10-14,34.862,8.1,201
252,20530,Late Spring,1949-09-13,9.208,8.1,289
253,11423,Memories of Murder,2003-05-02,23.304,8.1,2850
254,821,Judgment at Nuremberg,1961-12-18,10.744,8.1,582
255,339877,Loving Vincent,2017-06-22,12.645,8.1,2122
256,538362,On My Skin,2018-09-12,7.238,8.1,1742
257,120467,The Grand Budapest Hotel,2014-02-26,34.996,8.1,12630
258,400928,Gifted,2017-04-12,80.917,8.1,4498
259,115929,Cool Kids Don't Cry,2012-02-15,9.116,8.1,232
260,698948,Thirteen Lives,2022-07-18,174.727,8.0,658
261,482321,Ron's Gone Wrong,2021-10-15,151.208,8.0,1407
262,264644,Room,2015-10-16,24.783,8.0,8169
263,26022,My Name Is Khan,2010-02-10,24.013,8.0,1060
264,458220,Palmer,2021-01-29,130.105,8.1,877
265,455661,In a Heartbeat,2017-06-01,5.0,8.0,922
266,568160,Weathering with You,2019-06-19,89.734,8.0,1586
267,11104,Chungking Express,1994-07-14,28.605,8.0,1260
268,582,The Lives of Others,2006-03-15,11.06,8.0,3009
269,204,The Wages of Fear,1953-04-22,8.858,8.0,660
