,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
0,alan,The M16 Curse,medium,6.19,53,300,22-Sep-2022
1,Sabatu,Sabatu's Tomb Raider 4 (Demo),medium,8.54,42,622,01-Sep-2022
2,TombExplorer,Siberian Expedition,medium,9.61,307,758,30-Aug-2022
3,trtimes,Temple of Thoth,easy,7.90,73,505,29-Aug-2022
4,Sabatu,Aperama Competition - City of Khamoon,challenging,9.30,136,454,27-Aug-2022
5,Neltharion,Ex Oblivione (Demo),medium,7.56,69,514,21-Aug-2022
6,cumulonimbus48,The Guardian of the Talion returns,medium,7.34,145,590,19-Aug-2022
7,Feder,Oasis,medium,9.39,167,899,13-Aug-2022
8,Kubsy,The Abandoned Library,medium,9.13,88,498,13-Aug-2022
9,Igor Gois,Cultist's Secret - Level 01 (Demo),medium,7.86,110,412,13-Aug-2022
10,Denny,Mystery of the Sunken Submarines,medium,7.64,101,474,06-Aug-2022
11,Denny,Wreck of the Maria Doria,challenging,8.75,249,598,06-Aug-2022
12,ddaring_dash,In the Dark of the Night - Prologue,very challenging,5.20,135,527,02-Aug-2022
13,The Eye of Isis,Temple of Prithvi (Demo 2.0),challenging,8.71,104,806,21-Jul-2022
14,Tombraider95,Without a Paddle,medium,9.62,168,1232,12-Jul-2022
15,Potter,Quarter of Evil 2 - Catacombs,medium,4.04,19,432,10-Jul-2022
16,StormChaser,Legend of the Dragon,medium,7.81,198,725,30-Jun-2022
17,J.J.S.,The True Life of Tutankhamun,challenging,8.50,123,899,26-Jun-2022
18,Mahetus,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
19,BlackWolfTR,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
20,Leoc1995,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
21,ilariacroft,Essen Mysteries,easy,9.25,250,1201,17-Jun-2022
22,abbath81,The Great Pyramid - Remastered,medium,8.22,212,1110,10-Jun-2022
23,911,Seth Strikes Back (Demo),easy,8.42,69,626,03-Jun-2022
24,Sabatu,Sabatu's Tomb Raider 1,very challenging,8.97,348,1917,30-May-2022
25,Leoc1995,Folklorist Diary II - The Cursed Memories (Demo),medium,8.91,91,757,18-May-2022
26,Masked Goon,The Maria Doria Adventure,medium,8.67,130,1128,04-May-2022
27,JimmyBeon,The First Revelation (Demo),easy,6.75,51,534,03-May-2022
28,BigMedPack,City in Ruin,easy,7.04,121,548,01-May-2022
29,theGRG1999,Race against Time (Demo),medium,5.75,213,356,01-May-2022
30,IvanTRFan,The Asylum 2,challenging,8.05,201,577,01-May-2022
31,Nahomi Chan,Paper House (Demo),easy,5.22,27,316,01-May-2022
32,StormChaser,Backstreets of London,easy,7.78,205,669,01-May-2022
33,911,Angkor Vat,medium,8.41,80,807,01-May-2022
34,denis25l,The Fallen Sun,easy,2.63,331,840,15-Apr-2022
35,Sabatu,Sabatu's Tomb Raider 1 (Demo),medium,9.03,191,781,15-Apr-2022
36,Shaleigh7787,Helm of Fallen Defender,medium,4.88,184,1335,26-Mar-2022
37,Nahomi Chan,The Enchanted Palace (Demo),easy,5.43,75,927,26-Mar-2022
38,mrmoonknightandmando,Lara's bad Dream,easy,2.52,16,443,26-Mar-2022
39,ViridionSama,Tomb Raider Relic Hunter,challenging,8.75,199,2056,26-Mar-2022
40,Charles Kane,VR Training,easy,1.00,20,415,20-Mar-2022
41,Uzi Master,Tomb Raider: The Little Things - Dead of Night,challenging,8.83,97,1081,20-Mar-2022
42,Drobridski,Postmortem,easy,9.18,13,978,17-Mar-2022
43,Nicholas Bryfogle,Tomb of Hydra (Demo),medium,7.25,118,1028,14-Mar-2022
44,Neltharion,Deathwish,very challenging,8.00,106,1550,14-Mar-2022
45,Charles Kane,Rome Revisited,easy,1.44,19,463,13-Mar-2022
46,PedroCroft_,Pillars of Silence - Part 1,medium,6.96,218,1503,11-Mar-2022
47,StormChaser,Genesis Project 2,medium,8.00,259,2099,16-Feb-2022
48,OverRaider,Rainbow Land,easy,9.82,149,2110,04-Feb-2022
49,Leeloo,A snowy Walk in the Park,medium,8.74,249,2345,01-Feb-2022
50,Igor Gois,Dark Secrets beneath the Ground,challenging,7.45,128,1228,30-Jan-2022
51,MrSeanCroft,Spell of the Twelve Caves - Cavern II - Tomb of Amonthep II,medium,5.61,368,2203,25-Jan-2022
52,alan,Depths of the Arctic Ocean,medium,5.50,53,866,25-Jan-2022
53,dinne,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
54,Dreamfall,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
55,LoreRaider,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
56,Jesus C.Croft,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
57,AgentXP,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
