manufacturer,title,price
Harley Benton,SC-1000 SBK Progressive Line,175
Harley Benton,Electric Guitar Kit Single Cut,87
Harley Benton,SC-450 BK Classic Series,123
Harley Benton,SC-450 P90 GT Classic Series,132
Harley Benton,SC-450Plus HB Vintage Series,158
Gibson,Les Paul Standard 60s IT,"2,079"
Harley Benton,SC-500 BK Vintage Series,149
Harley Benton,SC-550 II PAF,264
Gretsch,G5425 Jet Club Black,273
Harley Benton,SC-Custom II Vintage Black,238
Epiphone,Les Paul Player Pack VS,194
Epiphone,1959 LP Standard Outfit ADB,688
Harley Benton,SC-400 SBK Vintage Series,114
Harley Benton,SC-500 WH Vintage Series,149
Epiphone,Billie Joe Armstrong LP Junior,439
Harley Benton,SC-1000 WH Progressive Line,175
Gibson,Les Paul Custom EB GH,"3,979"
Epiphone,Les Paul Standard 60큦 Ebony,456
DAngelico,DLX Atlantic Baritone Walnut,"1,325"
Gibson,Les Paul Classic HCS,"1,769"
Epiphone,Les Paul Modern Sparkling Burg,500
Harley Benton,SC-400 SGT Classic Series,132
Harley Benton,SC-400 SBK Vintage Bundle,219
Harley Benton,SC-550 II PAF Bundle,288
Epiphone,Les Paul Standard 50`s MG,505
Gibson,Les Paul Slash Standard GT,"2,539"
Gibson,Les Paul Slash Standard NB,"2,389"
Harley Benton,SC-Custom II SPAF,229
Harley Benton,SC-Custom II FR Vintage Black,333
Gibson,Les Paul Slash Standard AA LH,"2,469"
Gibson,Les Paul 54 Goldtop VOS,"3,979"
Gibson,Les Paul 59 Dirty Lemon VOS,"5,315"
Epiphone,Les Paul Classic Worn HC,385
Harley Benton,SC-1000 SBK Progressive Bundle,299
Gibson,Les Paul Classic HB,"1,859"
Gibson,Les Paul Classic EB,"1,859"
Harley Benton,SC-550 II DFB,264
Gibson,Les Paul 57 Goldtop DB VOS,"3,985"
Gibson,Les Paul 68 Goldtop Reissue,"3,939"
Gibson,Les Paul 59 Iced Tea Burst VOS,"5,929"
Epiphone,Les Paul Special VE VSB,166
Harley Benton,SC-Custom II Lemon Flame,229
Gibson,Les Paul Classic TC,"1,859"
Gibson,Les Paul 57 Goldtop VOS,"3,975"
ESP,LTD EC-1000 Vintage Black,944
Epiphone,Jerry Cantrell Wino LP Custom,749
Gibson,Les Paul 68 Custom Reissue EB,"5,111"
Harley Benton,SC-DLX Gotoh Black,289
Epiphone,Les Paul Standard 60큦 BB,495
Harley Benton,SC-450Plus VB Vintage Series,158
Gibson,Les Paul Standard 50s HCS,"2,111"
Gibson,LP Axcess Custom Figured BB,"4,429"
Epiphone,Les Paul Classic Honeyburst,435
Epiphone,Les Paul Standard 50`s HCS,511
ESP,LTD EC-1000FR Black Satin,"1,099"
Epiphone,Les Paul Special VE EBV,158
Harley Benton,SC-Custom II Ocean Flame,229
ESP,LTD Iron Cross SW,"1,399"
DAngelico,DLX Atlantic Bariton Solid BLK,"1,325"
ESP,Eclipse Custom BLM,"5,049"
Harley Benton,SC-DLX Gotoh Daphne Blue,245
Gretsch,G6134TFM-NH Nigel Hendroff AF,"2,899"
Gibson,Les Paul Custom AW,"5,111"
Harley Benton,SC-DLX Gotoh Pelham Blue,264
Epiphone,Les Paul Prophecy Black,749
Harley Benton,SC-DLX Gotoh Shell Pink,229
Harley Benton,SC-450Plus LD Vintage Series,175
Epiphone,Les Paul Classic Ebony,435
Gibson,Les Paul 58 Iced Tea VOS,"3,985"
Epiphone,1959 LP Standard Outfit ADCB,689
Epiphone,Les Paul Modern Graphite Black,511
ESP,LTD EC-1000 Evertune BB BLKS,"1,279"
Maybach,Lester Midnight Sunset 59 aged,"2,035"
Harley Benton,SC-Custom Plus EMG FR VBK,485
Gibson,LP Custom 54 Black Beauty VOS,"5,999"
ESP,LTD EC-1000VB/Duncan,933
Epiphone,Les Paul Classic HCS,439
Gibson,Les Paul Slash Standard AA,"2,545"
Epiphone,Slash Les Paul Anaconda Burst,688
ESP,LTD EC-256 Black Satin,456
ESP,LTD GH-200 BLK Gary Holt,619
Epiphone,Les Paul Custom Ebony,549
Epiphone,Les Paul Studio Alpine White,395
Duesenberg,Starplayer TV Silver Sparkle,"2,299"
ESP,LTD EC-1000QM STBC,"1,039"
Harley Benton,SC-550 Plus EMG PAF,353
Harley Benton,SC-550 II FTF,264
Harley Benton,SC-Special TV Yellow,211
Harley Benton,SC-Custom II Honey Burst Flame,229
Epiphone,Les Paul Standard 50`s VSS,495
Gibson,Les Paul Tribute SCS,998
Epiphone,Les Paul Special TV Yellow,353
Gibson,Les Paul Standard 60s BB,"2,111"
Solar Guitars,GC 2.6 C,619
Harley Benton,SC-Junior TV Yellow,175
ESP,LTD GH 600 BLK,"1,505"
Gibson,Les Paul Tribute SHB,"1,015"
Gibson,Les Paul 58 Bourbon Burst VOS,"3,985"
Harley Benton,SC-450Plus CB Vintage Series,175
Harley Benton,SC-200 BK Student Series,96
Epiphone,Les Paul Custom Koa,619
Epiphone,Les Paul Custom Alpine w/Case,619
Gibson,Les Paul Standard 50s TB,"2,111"
ESP,LTD EC-FR Black Metal BLKS,929
Gibson,Les Paul Standard 60s UB,"2,111"
ESP,LTD EC-Black Metal BLKS,969
Epiphone,Jared James Nichols Gold Glory,599
Harley Benton,SC-550 Plus EMG FTF,353
ESP,KH-3 Spider,"4,567"
Larry Carlton,L7 TS,477
Godin,xtSA Koa,"2,525"
Gibson,Les Paul Standard 50s Faded,"2,199"
Harley Benton,SC-Custom II Active White,238
Epiphone,Les Paul Studio Wine Red,395
PRS,SE Zach Myers MB,795
